Annual_Income,Num_of_Delayed_Payment,Monthly_Inhand_Salary,Credit_Score
22380.18,16.0,1385.2645393571067,Good
99166.77,7.0,8305.8975,Good
10496.255,17.0,1141.6879166666668,Poor
44438.41,2.0,3974.200833333334,Good
15330.305,19.0,1135.5254166666666,Good
80692.28,21.0,6856.356666666668,Poor
24858.67,13.0,1977.555833333333,Good
8983.515,19.0,968.62625,Poor
91870.71,0.0,7946.892499999999,Good
53979.12,17.0,4792.26,Poor
39641.54,13.0,3007.461666666666,Poor
50155.56,19.0,3562.142389800721,Good
79147.2,23.0,6632.599999999999,Poor
9390.68,24.0,686.5566666666667,Poor
17426.71,8.0,1745.2258333333332,Good
35940.94,10.0,2718.078333333333,Good
8439.33,20.0,554.2775,Poor
78506.64,22.0,6499.22,Poor
128279.16,7.0,10966.93,Good
16497.78,17.0,1291.8149999999996,Poor
32829.62,0.0,2945.8016666666667,Good
15139.13,19.0,1459.5941666666663,Poor
15548.34,22.0,1291.695,Poor
18578.88,11.0,1426.24,Good
36849.5,23.0,3029.791666666666,Poor
111456.21,6.0,9328.0175,Good
117019.2,5.0,10009.6,Good
57180.88,12.0,4584.073333333333,Poor
34428.21,11.0,2289.593700256465,Good
15576.36,10.0,1351.03,Poor
15827.06,19.0,1422.9216666666666,Poor
91965.39,0.0,7877.7825,Good
18463.93,15.0,1795.6608333333334,Good
99934.88999999998,3.0,8261.9075,Good
20759.32,14.0,1528.9433333333334,Poor
18750.54,20.0,1649.545,Poor
9925.3,16.0,761.1083333333332,Poor
64247.12,20.0,5330.926666666667,Poor
20317.12,13.0,1697.093333333333,Poor
114998.64,11.0,9729.22,Good
49228.35000000001,20.0,4210.3625,Poor
33136.35,-2.0,2681.3625,Good
101103.48,8.0,7671.987699078777,Good
15948.285,9.0,1625.02375,Good
20132.77,18.0,1690.730833333333,Poor
47275.96,18.0,4238.663333333334,Good
29901.97,9.0,2462.830833333333,Poor
43758.34,2.0,3454.528333333333,Good
44982.74,6.0,3774.561666666666,Good
16708.07,18.0,1359.3391666666666,Poor
10216.36,23.0,679.3633333333332,Poor
112282.4,14.0,9102.866666666669,Good
127770.52,7.0,10430.543333333331,Good
86567.96,10.0,6959.996666666668,Poor
36348.06,22.0,3265.005,Poor
62835.08,12.0,5464.256666666667,Good
133377.21,4.0,11114.7675,Poor
16676.72,19.0,1629.726666666667,Poor
14337.64,9.0,1405.803333333333,Good
10568.51,17.0,1176.7091666666663,Poor
20091.86,25.0,1817.321666666667,Poor
69740.96,2.0,5926.746666666668,Good
64427.3,5.0,5075.941666666667,Good
8083.345,14.0,661.1905252077282,Poor
8898.495,8.0,738.5412500000001,Poor
62804.55,8.0,5022.7125,Poor
57107.52,28.0,4980.96,Poor
34433.18,8.0,2671.431666666667,Poor
66482.2,21.0,5340.183333333333,Poor
29175.03,7.0,2152.2525,Good
16041.85,17.0,1479.8208333333334,Poor
9394.66,18.0,593.8883333333333,Poor
18014.3,15.0,1734.1916666666666,Poor
133868.52,0.0,11000.71,Poor
81411.2,2.0,6537.266666666666,Good
18859.53,23.0,1594.6274999999996,Poor
69941.88,8.0,5674.490000000002,Poor
87853.56,2.0,7527.13,Good
86372.43000000001,14.0,6986.7025,Good
68657.76,12.0,5558.48,Poor
33610.36,17.0,2857.863333333333,Poor
33816.41,4.0,2772.034166666667,Good
39280.52,2.0,3297.376666666666,Good
35806.51,14.0,3079.875833333333,Poor
94559.73,10.0,7712.9775,Good
129204.92,19.0,10508.076666666666,Good
82941.6,25.0,6625.8,Poor
20434.595,7.0,1993.882916666667,Good
131693.37,0.0,10696.4475,Poor
37486.02,8.0,3299.835,Poor
51950.28,9.0,4218.19,Poor
74008.84,25.0,6229.403333333333,Poor
42032.76,7.0,3569.73,Poor
68552.32,18.0,5618.693333333334,Poor
61269.16,20.0,5295.763333333333,Poor
10427.44,15.0,629.9533333333334,Poor
17560.74,18.0,1244.3950000000002,Poor
34204.91,-3.0,3056.409166666667,Poor
21112.76,12.0,1641.3966666666663,Poor
56831.7,21.0,4919.975,Poor
128503.64,5.0,10803.636666666667,Good
19092.79,15.0,1781.065833333333,Poor
78676.32,1.0,6710.3600000000015,Good
22020.37,6.0,1605.030833333333,Poor
24436.53,17.0,1881.3775,Good
146880.84,7.0,12372.07,Poor
38266.44,16.0,3282.870000000001,Poor
43442.97,21.0,3748.2475,Poor
58770.12,19.0,4659.51,Poor
54858.75,19.0,4327.5625,Poor
46390.56,15.0,3851.88,Poor
9012.04,22.0,512.0033333333333,Poor
41155.22,17.0,2968.080159381572,Poor
130688.56,3.0,11134.713333333331,Good
38684.2,20.0,3423.683333333333,Poor
18084.08,21.0,1740.006666666667,Poor
10186.26,10.0,985.855,Good
59226.15,13.0,4780.5125,Good
20618.07,15.0,1434.1725,Poor
41113.35,2.0,3325.341838408399,Good
94187.25,12.0,7696.9375,Good
99664.98,15.0,8482.415,Good
19609.38,21.0,1531.4826356866015,Good
29987.16,3.0,2557.93,Good
119809.72,6.0,9939.143333333332,Good
157698.52,7.0,11999.787525241987,Good
31985.64,18.0,2537.47,Poor
42847.79,7.0,3782.649166666666,Good
36783.38,19.0,3151.2816666666663,Poor
99902.37,2.0,8249.1975,Good
42918.75,6.0,3295.5625,Good
134504.68,4.0,11187.723333333332,Good
124534.38,11.0,10621.865,Good
64674.2,23.0,5675.516666666666,Poor
92127.24,20.0,7849.27,Poor
177350.84,2.0,14615.236666666666,Good
69240.72,23.0,5670.06,Poor
72079.52,21.0,6148.626666666668,Poor
52561.62,16.0,4572.135,Poor
18549.28,0.0,1698.773333333333,Good
21205.72,14.0,1556.1433333333334,Good
16580.69,20.0,1332.7241666666666,Poor
74437.44,3.0,6184.12,Good
32707.14,12.0,2679.595,Poor
83037.36,16.0,6663.78,Poor
16895.24,9.0,1509.936666666667,Poor
58651.88,23.0,4621.656666666667,Poor
19681.08,8.0,1454.09,Poor
33030.03,10.0,2604.5025,Good
52639.65,8.0,4618.6375,Poor
19567.0,26.0,1681.583333333333,Poor
85280.88,6.0,6846.740000000002,Good
75857.6,23.0,6596.466666666667,Poor
20468.75,17.0,1459.729166666667,Poor
108255.72,0.0,9042.31,Good
52958.43000000001,17.0,4313.2025,Poor
29353.04,23.0,2282.0866666666666,Poor
28501.86,0.0,2395.155,Good
15878.09,9.0,1068.174166666667,Poor
43849.26,7.0,3757.105,Good
35539.56,8.0,2953.63,Poor
18244.44,15.0,1555.37,Poor
86282.67,9.0,7409.2225,Good
30984.66,15.0,2547.055,Poor
21596.24,5.0,1962.686666666667,Good
20940.64,26.0,1874.053333333333,Poor
17379.785,1.0,1536.3154166666666,Good
54858.75,19.0,4327.5625,Poor
18666.56,5.0,1323.5466666666666,Good
19858.97,25.0,1663.914166666667,Poor
107774.28,6.0,9142.19,Good
58178.92,16.0,4670.243333333333,Poor
28059.97,11.0,2312.330833333333,Good
81463.6,11.0,6796.633333333334,Poor
8305.15,18.0,620.0958333333333,Poor
58942.6,22.0,5168.883333333333,Poor
43592.10000000001,20.0,3776.675000000001,Poor
33346.92,8.0,2696.002503952489,Good
172891.36,-2.0,14156.613333333333,Good
14220.28,10.0,1404.023333333333,Poor
17271.525,18.0,1269.29375,Good
41871.89,10.0,3764.3241666666654,Poor
33652.17,10.0,2602.3475,Good
18811.58,5.0,1782.631666666667,Good
41370.82,7.0,3656.568333333333,Good
8089.415,15.0,889.1179166666667,Poor
20855.32,14.0,2015.9433333333327,Good
19288.47,17.0,1408.3725000000004,Poor
158952.84,8.0,13056.07,Good
31911.34,9.0,2424.278333333333,Good
167075.68,-1.0,13893.973333333332,Poor
19017.29,19.0,1741.7741666666668,Poor
16479.14,17.0,1077.2616666666663,Poor
58599.48,15.0,5112.29,Poor
16674.01,4.0,1342.5008333333333,Good
118386.4,5.0,10126.533333333333,Poor
147519.72,9.0,12393.31,Good
22246.44,15.0,1721.87,Poor
31980.14,18.0,2924.0116666666668,Poor
42121.92,4.0,3500.16,Good
33531.19,14.0,2930.265833333333,Good
7110.93,16.0,843.5775,Poor
132262.74,-2.0,11228.895,Good
39849.72,22.0,3334.81,Poor
7186.5,22.0,850.875,Poor
57264.0,17.0,4933.0,Poor
15682.145,10.0,1412.8454166666668,Poor
12338.465,17.0,738.2054166666667,Poor
41415.52,15.0,3573.293333333333,Poor
14791.06,18.0,1499.5883333333334,Poor
15709.22,19.0,1290.1016666666667,Poor
32985.87,12.0,2928.8225,Good
17918.66,10.0,1519.2216666666666,Poor
8126.595,9.0,872.2162500000002,Poor
77854.26,11.0,6411.855,Good
30696.33,10.0,2617.0275,Good
69591.18,0.0,5708.264999999999,Good
42024.21,11.0,3695.0175,Good
81892.68,24.0,7112.389999999999,Poor
95421.0,3.0,7823.75,Good
32469.29,5.0,2738.7741666666666,Good
14791.06,20.0,1499.5883333333334,Poor
125049.78,10.0,10426.815,Good
43200.9,19.0,3807.075,Poor
33012.39,14.0,2793.0325,Good
98198.07,6.0,8079.1725,Poor
17446.07,20.0,1245.8391666666666,Poor
136582.04,10.0,11118.836666666668,Poor
56760.51,24.0,4999.0425,Poor
32300.64,10.0,2566.72,Poor
61630.4,2.0,5075.866666666667,Poor
16072.1,8.0,1585.341666666667,Poor
36996.83,9.0,3152.0691666666667,Poor
139711.0,9.0,11526.583333333336,Poor
15604.56,23.0,1389.38,Poor
17235.115,10.0,1693.2595833333337,Good
32597.48,10.0,2734.4566666666665,Good
35760.12,16.0,2904.01,Poor
29346.17,1.0,2368.5141666666664,Poor
56213.84,19.0,4955.486666666667,Poor
16962.91,17.0,1359.575833333333,Poor
16204.64,21.0,1596.3866666666663,Poor
131488.44,16.0,11031.37,Poor
116156.1,10.0,9448.675,Good
15867.45,14.0,1468.2875,Poor
58145.22,0.0,4577.435,Good
17446.07,20.0,1245.8391666666666,Poor
56200.53,28.0,4544.3775,Poor
17655.43,25.0,1530.2858333333334,Poor
17493.02,15.0,1587.7516666666668,Poor
31633.94,18.0,2729.1616666666664,Poor
18295.61,13.0,1456.634166666667,Poor
15714.98,18.0,1228.5816666666667,Poor
14562.32,24.0,1168.5266666666666,Poor
74005.12,19.0,5941.093333333332,Poor
26690.13,15.0,2326.1775,Good
79691.7,5.0,6704.974999999999,Poor
62538.3,6.0,5371.5250000000015,Poor
30924.04,7.0,2647.0033333333336,Good
29212.86,12.0,2494.405,Good
61437.0,21.0,5114.75,Poor
15148.68,21.0,1082.39,Poor
17482.49,23.0,1181.8741666666667,Poor
42024.21,11.0,3695.0175,Good
17794.98,23.0,1666.915,Poor
80394.72,16.0,6639.56,Poor
19127.84,24.0,1440.986666666667,Good
174826.76,8.0,14584.896666666667,Poor
38735.57,11.0,3187.964166666666,Good
20906.89,17.0,1620.240833333333,Poor
74449.44,19.0,6251.12,Poor
17327.28,18.0,1716.9399999999996,Poor
69279.38,10.0,5836.281666666668,Poor
8779.145,23.0,507.59541666666667,Poor
37029.04,23.0,3308.7533333333336,Poor
44620.44,11.0,3496.370000000001,Good
19303.21,18.0,1437.6008333333332,Poor
16489.74,15.0,1075.4716312343628,Good
84120.45000000001,1.0,7031.037500000001,Good
14535.105,3539.0,1345.25875,Good
39994.31,5.0,3463.859166666666,Good
92428.83,23.0,7799.4025,Poor
16361.9,19.0,1618.4916666666666,Poor
69692.16,21.0,6034.68,Poor
62424.12,18.0,5010.01,Poor
19833.55,20.0,1674.7958333333331,Poor
48411.24,11.0,4306.27,Good
29265.3,23.0,2410.775,Poor
31199.43,8.0,2800.9525,Poor
17723.52,15.0,1329.96,Poor
9536.42,24.0,769.7016666666667,Poor
125271.96,10.0,10374.33,Poor
21206.82,12.0,1881.235,Good
30352.72,23.0,2573.393333333333,Poor
16046.46,6.0,1218.205,Poor
110692.47,11.0,9428.3725,Good
12162.055,11.0,805.5045833333335,Good
57377.16,22.0,4651.43,Poor
86142.95999999999,8.0,7274.579999999999,Good
14665.31,15.0,1230.1091666666666,Poor
130682.94,9.0,10605.245,Good
101112.6,23.0,8600.05,Good
134499.84,9.0,11019.32,Good
76257.52,19.0,6383.793333333334,Poor
36137.59,0.0,2876.465833333333,Good
179068.04,11.0,14978.336666666668,Poor
76650.12,7.0,6558.509999999998,Poor
88203.74,0.0,7415.311666666667,Good
49822.0,16.0,4116.833333333333,Good
66377.52,21.0,5770.46,Poor
25703.34,11.0,1935.945,Poor
17116.42,18.0,1590.368333333333,Poor
15982.36,15.0,1279.8633333333337,Poor
49995.18000000001,19.0,4382.265,Poor
34847.84,0.0,3037.986666666666,Good
31985.64,18.0,2537.47,Poor
86502.12,5.0,7174.509999999998,Good
18444.925,2.0,1497.0770833333331,Poor
76374.93000000001,7.0,5505.266543931415,Good
54201.99000000001,22.0,4535.8325,Poor
9283.17,24.0,807.5975,Poor
81497.12,16.0,6540.426666666666,Poor
66554.31,19.0,5744.1925,Poor
15153.54,16.0,1108.795,Poor
28087.16,5.0,2514.596666666667,Good
41370.82,9.0,3656.568333333333,Good
43754.32,8.0,3938.193333333333,Good
32504.22,9.0,2643.685,Poor
15905.25,20.0,1075.4375,Poor
16743.345,6.0,1194.3666701789732,Good
18567.28,11.0,1745.629791748223,Poor
15167.62,5.0,1471.9683333333337,Good
108472.35,11.0,9233.3625,Good
16509.01,23.0,1412.750833333333,Poor
125943.63,7.0,10448.3025,Poor
15985.29,7.0,1210.9858277517103,Poor
131557.44,20.0,11144.12,Poor
37607.28,14.0,2842.94,Poor
130173.93,9.0,10703.8275,Poor
97714.47,3.0,8103.8725,Good
22049.235,1.0,1764.43625,Good
17924.07,18.0,1303.6725,Poor
48144.78,22.0,3994.065,Poor
37807.28,6.0,2933.606666666666,Good
9762.175,20.0,751.5145833333332,Poor
67408.06,10.0,5136.791348498127,Good
9547.825,22.0,839.6520833333334,Poor
32424.62,11.0,2867.0516666666667,Good
38299.84,10.0,3461.653333333333,Poor
